id,key,u,v
0,"411906626|411906662|[413190840, 301974417, 301974418, 413191032]",411906626,411906662
1,"3061645008|411906626|[413190840, 413190836, 413190839, 413190680, 413191900]",3061645008,411906626
2,"653937422|411906536|[23558048, 413190594, 1190573317, 344485835, 344485837, 23558041]",653937422,411906536
3,"84731379|3061644980|[344483374, 424836937, 413190598]",84731379,3061644980
4,3061645432|3061645416|413191667,3061645432,3061645416
5,2917661249|3061645416|413191667,2917661249,3061645416
6,638387256|3061645432|413191667,638387256,3061645432
7,"411906662|1205859895|[413191033, 413191665, 413191031]",411906662,1205859895
8,"1205859895|3061645356|[413191666, 424836949]",1205859895,3061645356
9,1194295021|3061645356|424836949,1194295021,3061645356
10,1365657778|13746673304|49946563,1365657778,13746673304
11,298153801|13746673304|49946563,298153801,13746673304
12,807734802|980244992|254309675,807734802,980244992
13,"3826146966|2640047005|[324852162, 324852164, 25736970, 25736973, 1212015189, 500261501]",3826146966,2640047005
14,806830890|980245111|254309675,806830890,980245111
15,"291565773|980245075|[132692011, 709361694, 336966379]",291565773,980245075
16,980245075|980245111|254309675,980245075,980245111
17,806830890|806830899|254309675,806830890,806830899
18,"11976449000|638387256|[424836943, 1291895230, 1291895231]",11976449000,638387256
19,"54800382|4257760696|[829790097, 23558027, 32390103]",54800382,4257760696
20,"691591791|431507211|[585677419, 585676655, 1472137299, 1472137300, 1472137301, 71511543]",691591791,431507211
21,"291081410|691591791|[585677416, 1472137295, 585677423, 1472137298, 944011796, 944011797]",291081410,691591791
22,59185860|1117512130|585676655,59185860,1117512130
23,1117512130|431507211|585676655,1117512130,431507211
24,"280296428|308196627|[829790105, 25708117]",280296428,308196627
25,"308196627|4257760696|[428747818, 608044493, 829790101, 23558037, 829790103, 26220986, 32389978, 23523773]",308196627,4257760696
26,89976490|2917661249|413191667,89976490,2917661249
27,"89976490|1205849587|[413191667, 424836949]",89976490,1205849587
28,"3255682615|3796620787|[319159842, 319159843, 319159844, 319159851, 23558035]",3255682615,3796620787
29,1860300216|300920574|54048718,1860300216,300920574
30,"300920574|390521177|[54060043, 54048718]",300920574,390521177
31,"12824394665|3392704437|[608044494, 1385168177, 1385168180, 1212015190, 500261501]",12824394665,3392704437
32,"21658644|71424286|[54050690, 769095046]",21658644,71424286
33,1205849587|1194295021|424836949,1205849587,1194295021
34,291565773|2058628629|132692009,291565773,2058628629
35,91695244|3264288721|10574992,91695244,3264288721
36,"3264288721|802169599|[10574992, 34849345, 34849344, 594333711]",3264288721,802169599
37,"291081410|440009414|[1472137280, 1472137282, 1472137283, 1472137284, 944016036, 1472137286, 944013062, 184274120, 944016035, 730087054, 50219345, 944011795, 418763932, 1472137279]",291081410,440009414
38,440009414|302407827|418763932,440009414,302407827
39,"157403751|54801022|[319159848, 30421577, 30421579, 608044491, 319159854, 829790094, 10215247, 608045842, 413190361, 23558042]",157403751,54801022
40,8360643081|298153801|49946563,8360643081,298153801
41,"266145053|289690322|[479945984, 254309665, 479945987, 479945989]",266145053,289690322
42,"81513490|256609986|[1110503682, 428033965, 413190363, 1123029211, 54053564, 54050943]",81513490,256609986
43,"54801198|256609986|[54060057, 7500763, 428033965, 428033966]",54801198,256609986
44,472398921|8570035298|1227917719,472398921,8570035298
45,"99098654|4770860276|[860798313, 860798314, 1291875799, 5150649, 656205114, 656205084]",99098654,4770860276
46,"2608160705|89976527|[22792096, 22792097, 353853316, 424836938, 22813165, 22813166, 22791536, 22791537, 596215956, 15733214]",2608160705,89976527
47,"291563013|417678978|[594333714, 334283430, 594331606, 10574990]",291563013,417678978
48,99115662|478159476|259033564,99115662,478159476
49,"539332473|599389911|[322101195, 259033564]",539332473,599389911
50,448475574|448475656|259033564,448475574,448475656
51,478159476|448475656|259033564,478159476,448475656
52,99115662|539332473|259033564,99115662,539332473
53,461353460|1195173084|675877972,461353460,1195173084
54,"291563013|1195173084|[675877973, 199027821, 675877972]",291563013,1195173084
55,"2386004484|300047892|[11124394, 421275590]",2386004484,300047892
56,80250660|411645710|197364777,80250660,411645710
57,"288822511|7923843392|[228904933, 969318027, 9888157]",288822511,7923843392
58,"21524824|4518018796|[54060048, 577469209]",21524824,4518018796
59,"54801091|81513490|[1389191272, 1110503681, 1110503683]",54801091,81513490
60,"10377014|1205670254|[1291875794, 1290772180, 8893854]",10377014,1205670254
61,"1205670254|1205670300|[1291875795, 229854093]",1205670254,1205670300
62,1205806780|2815415851|229854093,1205806780,2815415851
63,1205670300|1205811856|229854093,1205670300,1205811856
64,2815415851|1205811856|229854093,2815415851,1205811856
65,"294499502|1860300216|[54048730, 54048718, 1474859798]",294499502,1860300216
66,3826146966|3392704437|500261501,3826146966,3392704437
67,3205350968|3205350969|254309665,3205350968,3205350969
68,"319851742|335434917|[255865203, 1227917718]",319851742,335434917
69,"11363018163|3205350969|[254309665, 479950021, 479950013]",11363018163,3205350969
70,266145053|3205350968|254309665,266145053,3205350968
71,"54801084|54801091|[849203956, 1499153711]",54801084,54801091
72,266146601|807734802|254309675,266146601,807734802
73,"21658644|448475346|[311450625, 311450626, 54050693, 1474712458, 292107372, 9891852]",21658644,448475346
74,411614364|411614362|54060047,411614364,411614362
75,"172733844|411614364|[54050688, 54060047]",172733844,411614364
76,"99115713|411645736|[54050689, 54050686, 54050692, 54060046]",99115713,411645736
77,80250667|13474362272|23558030,80250667,13474362272
78,288822511|1870681083|9888157,288822511,1870681083
